,Title,Category,Room Count,Floor,Area,Updated At,Price,Location
1330,ARENA YAPI'DAN 2+1 MUAZZAM DEKORLU SATILIK LÜX DAİRE!,homeDaire,weekend2+1,layersBahçe katı,texture115 m2,event19 Ağustos,1.585.000 TL,İstanbul - Esenyurt - Selahaddin Eyyubi Mh.
1331,İNNOVİA'DA YATIRIMLIK 15.000TL GETİRİLİ LÜX 1+1 -SATILIK DAİRE,homeDaire,weekend1+1,layers18. Kat,texture100 m2,event19 Ağustos,1.900.000 TL,İstanbul - Esenyurt - Yeşilkent Mh.
1332,ARENA YAPI'DAN %80 KREDİ İMKANIYLA ACİL SATILIK 2+1 100 M2 DAİRE,homeDaire,weekend2+1,layers1. Kat,texture120 m2,event19 Ağustos,1.840.000 TL,İstanbul - Esenyurt - Pınar Mh.
1333,BEYLİKDÜZÜ ARENA YAPI'DAN FULL DEKORLU 2+1 SATILIK DAİRE!!,homeDaire,weekend2+1,layers1. Kat,texture110 m2,event19 Ağustos,2.000.000 TL,İstanbul - Esenyurt - Üçevler Mh.
1334,ARENA YAPI'DAN 2+1 ARA KAT SATILIK DAİRE!!!,homeDaire,weekend2+1,layers1. Kat,texture110 m2,event19 Ağustos,1.930.000 TL,İstanbul - Esenyurt - Mehterçeşme Mh.
1335,Mertcan'dan Velibaba Mah. İskanlı Açık Balkonlu 2+1 Ara Kat Dair,homeDaire,weekend2+1,layers2. Kat,texture95 m2,event19 Ağustos,3.250.000 TL,İstanbul - Pendik - Velibaba Mh.
1336,Mertcan'dan Metroya 3dk Mesafeli 170m2 Arsa Üzerinde 3+1 Müstaki,homeMüstakil Ev,weekend3+1,N/A,texture110 m2,event19 Ağustos,8.900.000 TL,İstanbul - Pendik - Sanayi Mh.
1337,Mertcan'dan Kavakpınar Mah. Caddeye 1dk 24m2 Arsa Tapulu 2+1 Ara,homeDaire,weekend2+1,layers2. Kat,texture90 m2,event19 Ağustos,2.075.000 TL,İstanbul - Pendik - Kavakpınar Mh.
1338,Mertcan'dan Şeyhli Ankara Cad.3dk Mesafeli İskanlı Balkonlu 2+1,homeDaire,weekend2+1,layers1. Kat,texture100 m2,event19 Ağustos,3.450.000 TL,İstanbul - Pendik - Şeyhli Mh.
1339,Mertcan dan Çarşı Mah Site İçinde 3+1 Araç Takaslı Fırsat Daire,homeDaire,weekend3+1,layersYüksek giriş,texture115 m2,event19 Ağustos,2.395.000 TL,İstanbul - Kartal - Yakacık Çarşı Mh.
1340,Mertcan'dan Kavakpınar Mah.Teraslı 4+2 Sıfır Dubleks Daire,homeDaire,weekend4+2,layersÇatı Dubleks,texture180 m2,event19 Ağustos,6.000.000 TL,İstanbul - Pendik - Kavakpınar Mh.
1341,Mertcan'dan Battalgazi Mah. Caddeye 1dk Mesafeli Sıfır Dubleks 3,homeDaire,weekend3+1,layersÇatı Dubleks,texture120 m2,event19 Ağustos,4.100.000 TL,İstanbul - Sultanbeyli - Battalgazi Mh.
1342,Mertcan'dan Kaynarca Mahallesi Teraslı 3+1 Dubleks Daire,homeDaire,weekend3+1,layersÇatı Dubleks,texture130 m2,event19 Ağustos,6.500.000 TL,İstanbul - Pendik - Kaynarca Mh.
1343,ARENA YAPI'DAN GERÇEK RESİMLİ HAFTANIN FIRSAT DAİRESİ SATIŞTA!!!,homeDaire,weekend3+1,layers6. Kat,texture140 m2,event19 Ağustos,1.525.000 TL,İstanbul - Beylikdüzü - Cumhuriyet Mh.
1344,Mertcan dan Soğanlık Yeni Mah 40m2 Arsa Paylı Satılık 3+1,homeDaire,weekend3+1,layersYüksek giriş,texture120 m2,event19 Ağustos,2.745.000 TL,İstanbul - Kartal - Soğanlık Yeni Mh.
1345,Mertcan'dan Çınardere Mah. Caddeye 3dk Yürüme Mesafeli 3+1 Daire,homeDaire,weekend3+1,layers10. Kat,texture135 m2,event19 Ağustos,5.600.000 TL,İstanbul - Pendik - Çınardere Mh.
1346,Mertcan'dan Kaynarca Mah. Amerikan Mutfaklı 2+1 Ters Dubleks Dai,homeDaire,weekend2+1,layersYüksek giriş,texture90 m2,event19 Ağustos,2.975.000 TL,İstanbul - Pendik - Kaynarca Mh.
1347,Mertcan'dan Kavakpınar Mah.Abdi İpekçi Cad.2dk Yürüme Mesafeli 4,homeDaire,weekend4+2,layersÇatı Dubleks,texture200 m2,event19 Ağustos,4.600.000 TL,İstanbul - Pendik - Kavakpınar Mh.
1348,Mertcan'dan Sülüntepe Safa Cad.1dk Mesafeli İskanlı 2+1 Daire,homeDaire,weekend2+1,layers3. Kat,texture95 m2,event19 Ağustos,3.590.000 TL,İstanbul - Pendik - Sülüntepe Mh.
1349,Mertcan'dan Fevzi Çakmak Mah. Arsa Tapulu 3+1 Daire,homeDaire,weekend3+1,layers4. Kat,texture135 m2,event19 Ağustos,2.850.000 TL,İstanbul - Pendik - Fevzi Çakmak Mh.
1350,Mertcan'dan Kavakpınar Mah. Caddeye 7dk Mesafeli 3+1 Daire,homeDaire,weekend3+1,layers2. Kat,texture115 m2,event19 Ağustos,3.550.000 TL,İstanbul - Pendik - Kavakpınar Mh.
1351,Mertcan dan Fatih Mah Cadde Üzerinde 3+1 İskanlı Fırsat Daire,homeDaire,weekend3+1,layers1. Kat,texture165 m2,event19 Ağustos,4.550.000 TL,İstanbul - Sancaktepe - Fatih Mh.
1352,Mertcan'dan Şeyhli Mah.2 Mutfaklı 4+2 Dubleks Daire,homeDaire,weekend4+2,layersÇatı Dubleks,texture220 m2,event19 Ağustos,5.250.000 TL,İstanbul - Pendik - Şeyhli Mh.
1353,Mertcan'dan Kavakpınar Mahallesi 26m2 Arsa Paylı 2+1 Daire,homeDaire,weekend2+1,layers1. Kat,texture90 m2,event19 Ağustos,1.500.000 TL,İstanbul - Pendik - Kavakpınar Mh.
1354,Mertcan'dan Metroya 8dk Mesafeli Ara Kat 2+1 Sıfır Daire,homeDaire,weekend2+1,layers5. Kat,texture95 m2,event19 Ağustos,4.250.000 TL,İstanbul - Pendik - Şeyhli Mh.
1355,Mertcan'dan Şeyhli Ankara Cad. 6dk Mesafeli Balkonlu 2+1 Daire,homeDaire,weekend2+1,layers3. Kat,texture105 m2,event19 Ağustos,3.100.000 TL,İstanbul - Pendik - Şeyhli Mh.
1356,Mertcan dan Soğanlık Metroya Çok Yakın Panjurlu 3+1 İskanlı,homeDaire,weekend3+1,layersYüksek giriş,texture115 m2,event19 Ağustos,3.895.000 TL,İstanbul - Kartal - Soğanlık Yeni Mh.
1357,KÜÇÜKÇEKMECE DE YENİ LÜKS BİNA DA 2+1 EŞYALI SATILIK DAİRE,homeDaire,weekend2+1,layers5. Kat,texture110 m2,event19 Ağustos,5.500.000 TL,İstanbul - Küçükçekmece - Cumhuriyet Mh.
1358,KOÇ ÜNİVERSİTESİ ALYA EVLERİ 140m2 2+1 BOŞ TESLİM,homeDaire,weekend2+1,layers2. Kat,texture140 m2,event19 Ağustos,13.500.000 TL,İstanbul - Sarıyer - Zekeriyaköy Mh.
1359,KOÇ ÜNİVERSİTESİ ALYA EVLERİ 101 m2 1+1,homeDaire,weekend1.5+1,layers3. Kat,texture101 m2,event19 Ağustos,8.500.000 TL,İstanbul - Sarıyer - Zekeriyaköy Mh.
1360,BAHÇEKÖY MERKEZDE BELGRADA SINIR SATILIK GİRİŞ KAT,homeDaire,weekend2+1,layersDüz Giriş (Zemin),texture125 m2,event19 Ağustos,4.500.000 TL,İstanbul - Sarıyer - Bahçeköy Merkez Mh.
1361,Yakacık Meydana Yürüme Mes Güvenlikli Site İçi 2+1 İskanlı,homeDaire,weekend2+1,layers8. Kat,texture85 m2,event19 Ağustos,3.950.000 TL,İstanbul - Kartal - Yakacık Yeni Mh.
1362,SARIYER SAHİL YALI DAİRESİ DENİZ MANZARALI ÖZEL DEKORASYONLU,homeYalı Dairesi,weekend2+1,layers3. Kat,texture135 m2,event19 Ağustos,17.000.000 TL,İstanbul - Sarıyer - Sarıyer Merkez Mh.
1363,Mertcan dan Fatih Mah Cadde Üzerinde Ebeveyn Banyolu 4+1 Dubleks,homeDaire,weekend4+1,layers3. Kat,texture147 m2,event19 Ağustos,4.995.000 TL,İstanbul - Sancaktepe - Fatih Mh.
1364,SONSUZ'DAN BEYLİKDÜZÜ'NÜN EN NEZİH MAHALLESİ SİTE İÇİ 3+1 DAİRE,homeDaire,weekend2+1,layersBahçe katı,texture120 m2,event19 Ağustos,2.999.999 TL,İstanbul - Beylikdüzü - Kavaklı Mh.
1365,Mertcan dan Cumhuriyet Mah Ara Katta 2+1 İskanlı Lüks Satılık,homeDaire,weekend2+1,layers2. Kat,texture80 m2,event19 Ağustos,3.475.000 TL,İstanbul - Kartal - Cumhuriyet Mh.
1366,BEYLİKDÜZÜ ASRİVA'DAN ÖZEL MÜSTAKİL BAHÇE KULLANIMLI 2+1 DAİRE!,homeDaire,weekend2+1,layersDüz Giriş (Zemin),texture130 m2,event19 Ağustos,2.299.000 TL,İstanbul - Beylikdüzü - Adnan Kahveci Mh.
1367,BEYLİKDÜZÜ KAVAKLIDA BUTİK SİTE İÇİNDE MUHTEŞEM 3+2 TERS DUBLEKS,homeDaire,weekend3+2,layers1. Kat,texture180 m2,event19 Ağustos,3.299.999 TL,İstanbul - Beylikdüzü - Kavaklı Mh.
1368,SONSUZ BEYKENT'TEN MARMARA MAHALLESİNDE SİTE İÇİ 3+1 DAİRE,homeDaire,weekend3+1,layers3. Kat,texture165 m2,event19 Ağustos,5.499.999 TL,İstanbul - Beylikdüzü - Marmara Mh.
1369,BEYLİKDÜZÜ ADNAN KAHVECİ DE MERKEZİ KONUMDA ÖN CEPHE SIFIR 2+1,homeDaire,weekend2+1,layers2. Kat,texture120 m2,event19 Ağustos,3.150.000 TL,İstanbul - Beylikdüzü - Adnan Kahveci Mh.
1370,SONSUZ'DAN BU HAFTAYA ÖZEL FİYATLA DENİZ MANZARALI 4+1 VİLLA !!,homeVilla,weekend4+1,N/A,texture350 m2,event19 Ağustos,10.499.999 TL,İstanbul - Beylikdüzü - Gürpınar Mh.
1371,GÜZELYURT ZEN YAPI'DAN SATILIK 2+1 AMERİKAN MUTFAK DAİRE,homeDaire,weekend2+1,layers1. Kat,texture100 m2,event20 Ağustos,2.100.000 TL,İstanbul - Esenyurt - Güzelyurt Mh.
1372,İstanbul Üsküdar Mehmet Akif Ersoy Mahallesi fırsat fiyat satılık,homeDaire,weekend3+1,layers1. Kat,texture155 m2,event20 Ağustos,3.550.000 TL,İstanbul - Üsküdar - Mehmet Akif Ersoy Mh.
1373,ZEN YAPI'DAN 2+1 SATILIK METROBÜSE YÜRÜME MESAFESİNDE DAİRE,homeDaire,weekend2+1,layers1. Kat,texture110 m2,event20 Ağustos,1.780.000 TL,İstanbul - Esenyurt - Güzelyurt Mh.
1374,ZEN YAPI'DAN 2+1 BAHÇELİ BAHÇE KATI DAİRE FIRSATI,homeDaire,weekend2+1,layersBahçe katı,texture100 m2,event20 Ağustos,1.680.000 TL,İstanbul - Beylikdüzü - Yakuplu Mh.
1375,SONSUZ'dan KOLEJLER BÖLGESİNDE LÜKS SİTE İÇERİSİNDE 2+1 ARAKAT,homeDaire,weekend2+1,layers2. Kat,texture120 m2,event19 Ağustos,4.250.000 TL,İstanbul - Beylikdüzü - Adnan Kahveci Mh.
1376,AVCILAR ZEN YAPI'DAN 4+2 SATILIK SIFIR DUBLEX DAİRE,homeDaire,weekend4+2,layersÇatı katı,texture170 m2,event20 Ağustos,6.000.000 TL,İstanbul - Beylikdüzü - Yakuplu Mh.
1377,SONSUZ DAN METROBÜSE 3 DK ŞIKLIĞIYLA GÖZ KAMAŞTIRAN GENİŞ 3+1,homeDaire,weekend3+1,layers4. Kat,texture175 m2,event19 Ağustos,4.548.999 TL,İstanbul - Beylikdüzü - Barış Mh.
1378,SONSUZ BEYKENT'den KOLEJLER BÖLGESİNDE SİTE İÇİ LÜKS 3+1 DAİRE,homeDaire,weekend3+1,layers2. Kat,texture150 m2,event19 Ağustos,6.499.999 TL,İstanbul - Beylikdüzü - Adnan Kahveci Mh.
1379,"WEAL WORLD' den Güneşli de Otoparklı Butik Sitede, 3+2, Çift Gir",homeDaire,weekend3+2,layersÇatı Dubleks,texture170 m2,event20 Ağustos,6.250.000 TL,İstanbul - Bağcılar - Güneşli Mh.
1380,BEYLİKDÜZÜ ZEN YAPI'DAN 2+1 SATILIK GENİŞ m2 DAİRE,homeDaire,weekend2+1,layers2. Kat,texture110 m2,event20 Ağustos,3.750.000 TL,İstanbul - Beylikdüzü - Yakuplu Mh.
